,description,type,Rent,Rooms,Living space,geometry,Gardens,PubliBike,Park,Public_transport,Year,District,CHF/m2/year
111,"2 Bedroom Apartment Junior Balcony
These spacious 2 bedroom apartments are available in various styles. Black leather furniture, elegant glass tables, as well as mosaic details are the dominant design motifs. The open living area tempts with a snug corner sofa with flat screen TV and a dining area. Two separate bedrooms, each of them offering a comfortable double bed or a sleeping sofa, as well as their own TV-set, ensure sufficient privacy. A fully fitted kitchen with a glass ceramic stove, microwave with baking and grilling options, coffee maker, as well as pans, crockery and cutlery provides for all daily needs. The bathroom with a shower or a corner bath is equipped with hand towels, a hairdryer and toiletries.

The apartments are set right in the heart of the lively 4th district there is no better place to experience the urban charm of Zurich at first hand. Diverse restaurants, cafes, shops and local pubs are just a few steps away. The legendary Langstrasse with its numerous bars and clubs also lies a short walking distance from the building. Additionally, there are green spaces and small parks in close proximity. What is more, the location offers superb transport links. Right on the doorstep there is a tram stop Bezirksgebäude. The railway station Wiedikon can be reached within 2 minutes walking distance. From here, there are direct connections to the Airport Zurich Kloten (approx. 20 minutes). The main railway station is located 10 minutes away. Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,3990.0,2.0,37.0,POINT (8.5260791 47.3732762),0.020071022621028226,0.0010768600607451227,8.301322465187158e-05,0.0009964155374345947,1891.0,Werd,1294.054054054054
113,"
Beautiful apartment with 2 rooms
You will find the following equipment in the inexpensive apartment:
- 2 rooms
- Bedroom with double bed
- Living/dining area with comfortable seating area
- Fully equipped kitchen with stove, microwave oven, refrigerator and much more
- Private bathroom\ n- Balcony

In order to make your stay as pleasant as possible, the following services are included in the price: Wi-Fi Internet, satellite TV with international channels, bed linen, hand and bath towels and monthly cleaning for stays longer than 45 days .

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2800.0,4.0,26.0,POINT (8.4936102 47.3864258),0.007197393632826653,0.002779614331916976,5.347832136315393e-05,0.002257640450798922,1964.0,Altstetten,1292.3076923076924
118,"2 Bedroom Apartment Junior
This 2 bedroom apartment offers temporary accommodation for up to 3 people. Thanks to its purist design with muted colors, dominant white tones, glass details and designer furniture, the apartment is chic and welcoming. Two separate bedrooms with a double bed or a sofa bed, wardrobe and a working desk ensure sufficient privacy. Each bedroom is accompanied by an adjacent bathroom with a bathtub or shower, which is separated from the sleeping area by a glass wall. The open living and dining area tempts with a snug sitting corner with flat screen TV and a dining table. A fully fitted kitchen with a glass ceramic stove, microwave with baking and grilling options, coffee maker, as well as crockery, pans and cutlery provides for all the daily needs.

The historical building stands in the very center of the 1st district of Zurich. The Paradeplatz and the world-famous Bahnhofstrasse are both in close proximity. Within a short walking distance, guests will find a plethora of restaurants, bars and clubs and shopping opportunities. The beautiful Sihl can be easily reached on foot. You can also enjoy a walk to the city center alongside the river. The location boasts great public transport links. The tram stop Selnau and the railway station of the same name are right on the doorstep. The tram no. 8 will take you to the downtown in just few minutes. What is more, the Selnau railways station offers excellent connections to the main railway station as well as to the Airport Zurich Kloten (approx. 30 minutes). Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,4890.0,2.0,46.0,POINT (8.531809745689879 47.3698009),0.02290122841547758,0.0016294730755344509,0.00017013546292545792,0.0008942931058978214,1865.0,City,1275.6521739130435
119,"
modern living in the trendy Wipkingen district
We rent this bright and spacious 3-room apartment on the 1st floor (no elevator) in a central location by arrangement. This apartment has the following standard of construction:

- Bright living room and bedroom with parquet floors
- ceramic floor tiles in the kitchen, wet room and corridor
- Kitchen with dishwasher, glass ceramic and granite top
- Bathroom with bathtub
- practical built-in wardrobes in the corridor
- Own washing tower
- spacious balcony
- Basement compartment

The property is centrally located in Wipkingen. In the lively district you will find numerous restaurants, cozy cafés and direct access to the Lettenbadi. Of course, an in-house delicatessen for everyday needs or for gourmets is a must. Public transport is in the immediate vicinity.
Read more",Apartment,2650.0,3.0,74.0,POINT (8.535701644477612 47.38848315),0.011181118282497488,0.0007586227372257795,0.000370315461888361,0.00048740349904037957,1929.0,Wipkingen,429.72972972972974
121,"
In the middle of circle 3
In a central location on the 6th floor we rent a 2.5 room apartment with the following features:

- Living rooms with parquet
- Bathroom with ceramic floor tiles
- Bathroom with bathtub
- Washing tower
- Cellar compartment

The property is located in the busy district 3 in Wiedikon. With various shopping opportunities and good connections to various public transport, it can be reached on foot within five minutes.
Read more",Apartment,2650.0,2.5,84.0,POINT (8.5270687 47.369431),0.01934818190002026,0.0007457512684841816,0.00025184534112220405,0.003164004032421811,1938.0,Sihlfeld,378.57142857142856
123,"
Brand new modern and well located studio
This furnished apartment is the ideal accommodation for business travelers coming to Zurich. The furnished apartment impresses with its unique location and elegant design. In the studio you will find everything you need for work and leisure. in the comfortable living/sleeping area you will feel at home and in the kitchen you will find everything you need to cook. Of course, the apartment has its own bathroom with shower. All in all, this furnished business apartment offers all-round comfort in a prime location!

The apartment in Zurich includes the following services: WiFi Internet, satellite TV with international channels, laundry facilities, monthly cleaning (from a 45-night stay), bed linen, towels and all additional costs.

In the basement there are washing machines and dryers for free shared use.

The Serafe radio and television fee is not included in the rental price and must be paid by the tenant.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2464.0,1.0,19.0,POINT (8.5780496 47.3520164),0.0004051116696461861,0.017522933648956775,0.000686667869776056,0.0014173634024113285,1993.0,Weinegg,1556.2105263157894
124,"
cozy and inviting
A sunny and very spacious studio apartment awaits you with high-quality furnishings such as a comfortable box spring bed.
The apartment has a separate kitchen and a balcony with a view of the Uetliberg.
The apartment is fully equipped, including a flat screen TV and WiFi. Household appliances such as a microwave, coffee maker, kettle, toaster, iron, vacuum cleaner and hair dryer are available. The kitchen is equipped with the usual utensils such as pots, pans, crockery and cutlery.

Please note that the provider charges an additional VAT of 3.7% for guests who will not register in Zurich total rental price.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3340.0,1.0,35.0,POINT (8.5541771 47.3652063),0.016782712970633527,0.0003028251207615032,0.00027128212170063717,0.0002796387615062873,1918.0,Hottingen,1145.142857142857
127,"
The perfect single apartment
As of April 1st, 2023 we are renting this beautiful 1.0 room apartment in Zurich.

The apartment offers you the following amenities:
Living/sleeping room with parquet floor
Bathroom with easy-care tile floor
Bright and spacious living room/bedroom
Pet are allowed.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,975.0,1.0,19.0,POINT (8.5516607 47.4229594),0.005651920560822732,0.0021074549757519228,0.00021534952100555048,0.0021792952671608906,1963.0,Seebach,615.7894736842105
128,"
Living in idyllic park
We rent this attractive 3.5-room apartment in a well-kept environment, which has plenty of natural light thanks to the floor-to-ceiling window and also offers you the following amenities:

- Living room and bedroom with parquet floors
- open kitchen
- with glass ceramic stove
- Dishwasher is available
- with convection oven and steamer
- Bathroom/WC with slab floor
- Shower/toilet with slab floor
- with its own washing tower
- the kitchen, the corridor and the wet rooms are included
Equipped with halogen ceiling spots
- spacious balcony
- The cellar compartment is easily accessible via the elevator

These are sample photos, which are for illustrative purposes only and may differ slightly from the object on offer. Please see the floor plan for the exact room layout.

If required, parking spaces can be rented for CHF 140.00 per month, as well as a double parking space for CHF 240.00 per month.

The Hertensteinstrasse bus stop, which is served by bus line 40, takes you to Seebacherplatz and Bucheggplatz and is within a short walking distance. The Zurich, Seebach tram stop, which is served by various lines and takes you towards Oerlikon train station, among others, is also close to the property.

Various shopping opportunities such as a Coop, a Denner and a pharmacy as well as various restaurants are also nearby.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,2199.0,3.5,91.0,POINT (8.541894402586387 47.42444735),0.0035930893437149144,0.007697434509129179,0.0007610752564108441,0.0022371123223862664,2009.0,Seebach,289.97802197802196
129,"
Living in beautiful Wollishofen with a lake view ""Temporary until February 1st, 2024""
In addition to the quiet and central location, your new home in Zurich-Wollishofen has the following features to offer:

- Living room with parquet floors
- Entrance with wardrobe
- modern open kitchen
- bright toilet with bathtub
- Basement and attic compartment
- small balcony
- Elevator

These are sample images that show the standard of construction.

The rental agreement is issued for a limited period of 1 year.

Depending on availability, a parking space can be rented for CHF 170.00 per month.

In 2 minutes you can reach Lake Zurich. Public transport, as well as Migros and Coop are also in the immediate vicinity.

Please get your own impression of the apartment on the official viewing dates.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2240.0,2.0,55.0,POINT (8.533756057031255 47.3434433),0.011117524058874402,0.0027369859705162606,0.0005840391859749576,0.001299780634014003,1975.0,Wollishofen,488.72727272727275
133,"
1-room apartment in district 7 for rent!
We are renting this small but nice 1-room apartment in District 7 as of November 24th, 2023 or by arrangement, which offers you the following expansion:

- Parquet floors in the room
- New PVC flooring in the kitchen
- Glass ceramic hob
- Shower
- Cellar compartment

Thanks to the top location, you can reach the “Hottingerplatz” tram station within 1-2 minutes on foot. You can also reach Zurich HB within a few minutes by public transport. We are looking forward to your contact.
Read more",Apartment,1340.0,1.0,27.0,POINT (8.55331485 47.3691447),0.01739894499786966,0.0010887041850327522,0.00014793798881305152,0.0011540264319164972,1958.0,Hottingen,595.5555555555555
134,"
3-room apartment with balcony near ETH and University in Zurich
Welcome to this cozy 3-room apartment in the sought-after District 12 in Zurich, which will be available from February 1, 2024. This apartment offers a sunny balcony, is furnished and fully equipped to maximize your living comfort.
The bright apartment offers two spacious bedrooms, a living room with a balcony and a prime location. You will enjoy the following benefits:
Read more",Furnished flat,2235.0,3.0,76.0,POINT (8.581950550000002 47.4078908),0.00798125180673524,0.004249420381357615,8.032707829637538e-05,0.001959727189423505,1959.0,Schwamendingen-Mitte,352.89473684210526
138,"2 Bedroom Apartment Junior
This modern 2 bedroom apartment can accommodate up to 4 people. High-quality materials, designer furniture and elegant colors give the apartment that certain something. Its living area is furnished with a comfortable sitting corner, flat screen TV and a dining table. The fully fitted kitchen provides everything for the daily needs: a glass ceramic stove, microwave with baking and grill function, coffee maker, cutlery and crockery. The two separate bedrooms boast a comfortable double bed, flat-screen TV and wardrobe. The spacious and modern bathroom with glass sliding door features a bathtub or shower, hand towels, a hairdryer and company-branded toiletries. The apartment is available in two different design versions: either Asian, tinged with onyx stone and various yellow and gold details or futuristic, achieved through Plexiglas items and natural stone slabs.

This flagship apartment house is located in the urban area of the 3rd district of Zurich. The SZU station Giessh'bel is situated just on its doorstep (five minutes to the main railway station), while the surrounding traffic arteries can be accessed quickly by a private car. The closest bus and tram station is also not far away. The city center and the lake can be reached within a few minutes by public transport. The direct vicinity offers some restaurants, bars, as well as shopping possibilities. The shopping center Shilcity with numerous shops, restaurants and a cinema is just around the corner. Moreover, local recreation areas Sihl and Allmend Brunau are situated nearby. The Airport Zurich Kloten can be reached within 30 minutes.

Read more",Apartment,3790.0,2.0,41.0,POINT (8.522196068843808 47.3622153),0.010710492337024494,0.0024896429521492906,0.0003572627034323665,0.0004936660141055884,2013.0,Alt-Wiedikon,1109.2682926829268
139,"2 Bedroom Apartment Mini
This cozy 2 bedroom flat is characterized by its interesting layout and classic furnishings. Designer furniture and black leather details ooze elegant charm. Two separate bedrooms with snug double beds, flat screen TV, wardrobe and a working desk provide the necessary privacy. The open kitchen with a dining area is fully fitted with a glass ceramic stove, microwave with baking and grilling options, coffee maker, as well as pans, crockery and cutlery. The modern bathroom with a shower is equipped with hand towels, a hair dryer and toiletries. This flat can comfortably accommodate up to 4 people providing everything to ensure maximum comfort of living.

The apartments are set right in the heart of the lively 4th district there is no better place to experience the urban charm of Zurich at first hand. Diverse restaurants, cafes, shops and local pubs are just a few steps away. The legendary Langstrasse with its numerous bars and clubs also lies a short walking distance from the building. Additionally, there are green spaces and small parks in close proximity. What is more, the location offers superb transport links. Right on the doorstep there is a tram stop Bezirksgebäude. The railway station Wiedikon can be reached within 2 minutes walking distance. From here, there are direct connections to the Airport Zurich Kloten (approx. 20 minutes). The main railway station is located 10 minutes away. Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,3890.0,2.0,37.0,POINT (8.5260791 47.3732762),0.020071022621028226,0.0010768600607451227,8.301322465187158e-05,0.0009964155374345947,1891.0,Werd,1261.6216216216217
140,"
Friendly business apartment in Zurich
This apartment offers everything you need for a carefree life. In addition to a double bed, this apartment offers a kitchen and a bathroom with shower or bathtub.
This business apartment is located in Zurich-Oerlikon, in an up-and-coming district for culture, trade fairs and sports and offers self-service check-in, an equipped kitchen, a bathroom and a balcony with panoramic views.
The friendly and attractively designed apartment has an absolutely fair price and a perfect cleaning service. This business apartment offers relaxation and tranquility to leisure and business travelers.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2803.0,6.0,30.0,POINT (8.5465725 47.4136512),0.007252728130822688,0.0025594507110574412,0.0002472993240050351,0.0005736323736836573,1999.0,Oerlikon,1121.2
141,"
Modern Wiedikon 2.0 rooms, basement, wt. 3 minutes to the market
Come and feel at home from day one in this pretty 2-room apartment in Zurich. You will love coming home to this tastefully furnished, particularly well thought-out and fully equipped District 3, Wiedikon apartment with a breathtaking balcony view of the city of See. (ID",Furnished flat,3893.0,4.0,52.0,POINT (8.5187647 47.3703941),0.013114885514660024,0.0006818765431877387,0.00011614687773111886,0.00040138561987418094,1988.0,Sihlfeld,898.3846153846154
142,"
**Zurich-Witikon** temporary living until March 31, 2025
We are renting a beautiful, bright 4.5-room apartment at Carl Spittelerstrasse 59 from December 1st, 2023. The spacious floor plan, the attractive location and the parquet floors in the living and sleeping areas make this apartment attractive. A parking space can be rented.

The apartment is limited until March 31, 2025, as the building is being renovated.

If you are interested, you are welcome to take part in the viewing without prior registration on: November 16th, 2023 at 5:00 p.m. - 5:30 p.m
Read more",Apartment,1770.0,4.5,98.0,POINT (8.592270170302765 47.35661435),0.010523263258443646,0.03179300458286483,0.001201877134945272,0.0017370533543779646,1958.0,Witikon,216.73469387755102
143,"
Furnished 1-room apartment in the heart of Zurich
We are pleased to introduce you to this beautiful and bright 1-room apartment in an absolutely central location. This unique property is available for rent from January 1, 2023 for an initial period of 12 months, possibly longer. It is ideal for singles or students who value a quiet and comfortable living atmosphere.

When you enter the apartment, you will immediately be amazed by the light-flooded living room. Here you will find enough space to relax and feel good. The newly renovated kitchen is an absolute highlight and impresses with its high-quality furnishings. It has an induction cooker, an oven, a large refrigerator including a freezer and even a dishwasher - everything that makes the heart of an amateur cook beat faster.

The spacious and newly renovated daylight bathroom ensures pure relaxation and comfort. Here you will find a modern shower cubicle as well as your own washing machine and dryer. The apartment is fully furnished and offers you plenty of storage space for your personal belongings.

The property may have been built in the 1500s, but thanks to a comprehensive renovation in 2023, it is now in mint condition. The standard of construction is modern and contemporary.

The central location of this apartment speaks for itself. It is located in the middle of Zurich and offers first-class connections to restaurants, cafés, shopping opportunities and schools. The transport connections are also optimal, so you can easily get to all directions.



""Bright and spacious living room area
""Newly renovated kitchen
"" Washer and dryer
""Furnished ambience with plenty of storage space
""Location in the middle of Zurich
""Historic year of manufacture, but in mint condition
"" Convenient access thanks to the existing elevator
""A pleasant neighborhood and an open-minded environment

Read more",Furnished flat,1800.0,1.0,32.0,POINT (8.5452226 47.3731115),0.01901730195729669,0.0006297763724578105,6.57332442367414e-05,0.0021535166067519506,1350.0,Rathaus,675.0
144,"
Brand new modern and well located studio
This furnished apartment is the ideal accommodation for business travelers coming to Zurich. The furnished apartment impresses with its unique location and elegant design. In the studio you will find everything you need for work and leisure. in the comfortable living/sleeping area you will feel at home and in the kitchen you will find everything you need to cook. Of course, the apartment has its own bathroom with shower. All in all, this furnished business apartment offers all-round comfort in a prime location!

The apartment in Zurich includes the following services: WiFi Internet, satellite TV with international channels, laundry facilities, monthly cleaning (from a stay of 45 nights), bed linen, towels and all additional costs.

In the basement there are washing machines and dryers for free shared use.

The Serafe radio and television fee is not included in the rental price and must be paid by the tenant.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2464.0,1.0,19.0,POINT (8.5780496 47.3520164),0.0004051116696461861,0.017522933648956775,0.000686667869776056,0.0014173634024113285,1993.0,Weinegg,1556.2105263157894
149,"
Charming Langstrasse 3.5 room warehouse, 5 minutes to the tram, via Blueground
Discover the best Zurich has to offer with this 3-room apartment in District 4, Langstrasse with balcony views of the city. Arrive and immediately settle into this airy apartment with a fully equipped kitchen, sophisticated living room and our dedicated on-site support team. (ID",Furnished flat,3610.0,1.0,86.0,POINT (8.5199192 47.3761133),0.013540876342578164,0.0011516360812723777,7.562599970213997e-05,0.0021966473497764595,1951.0,Langstrasse,503.72093023255815
152,"Luxus Wiedikon 2.0 Zim.,Keller,W-T. 3 Min. zum Markt
Entdecke mit dieser 2-Zimmer Wohnung in District 3, Wiedikon mit Balkonblick auf die Stadt das Beste, was Zurich zu bieten hat. Komm an, und lebe dich sofort in dieser modern eingerichteten Wohnung mit voll ausgestatteter Kuche, anspruchsvoll Wohnzimmer und unserem engagierten Support-Team vor Ort ein. (ID",Furnished flat,3714.0,3.0,56.0,POINT (8.5187647 47.3703941),0.013114885514660024,0.0006818765431877387,0.00011614687773111886,0.00040138561987418094,1988.0,Sihlfeld,795.8571428571429
154,"Schone Wiedikon 1.0 Zim.+W-T, +Lag, 1 Min. zum Markt
Fuhl dich wie zu Hause, ganz egal wo du mit wohnen willst. Du wirst von dieser stilvoll moblierten District 3, Wiedikon Studio/1-Zimmer Wohnung mit moderner Inneneinrichtung, voll ausgestatteten Kuche, und stilvoll Wohnzimmer. Optimal gelegen, hast du das Beste, was Zurich zu bieten hat, ganz in der Nahe! (ID",Furnished flat,2369.0,2.0,18.0,POINT (8.5134876 47.3752681),0.00769869154698629,0.0012455327016894179,0.00011495803121312787,0.0013820109124794708,1910.0,Sihlfeld,1579.3333333333333
155,"
Apartment in a quiet location in Zurich
Are you traveling to Zurich on business and looking for suitable accommodation? Then you are exactly right here! The small and charming business apartment called ""Cranberry III"" is located in Zurich Oerlikon and offers all-round comfort for one person. The furnished apartment has 18m2 and offers a small double bed, kitchen and bathroom. The studio is the perfect retreat after work. Here you can switch off and simply relax after a long day at work. Of course you have free internet access here and there is also a television. Hand and bath towels, bed linen, monthly interim cleaning, all ancillary costs, laundry facilities and final cleaning are included in the price.

Note: The prices and dates shown are not necessarily final and should only be used for information purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2520.0,1.0,18.0,POINT (8.5574123 47.4046105),0.013622234413605919,0.005050612282809679,0.0002506537217798591,0.0009164245487727618,1935.0,Schwamendingen-Mitte,1680.0
156,"
Friendly business apartment in Zurich
This apartment offers everything you need for a carefree life. In addition to a double bed, this apartment offers a kitchen and a bathroom with a shower or bath.
This business apartment is located in Zurich-Oerlikon, in an up-and-coming district for culture, trade fairs and sports and offers self-service check-in, an equipped kitchen, a bathroom and a balcony with a panoramic view.
The friendly and attractively designed apartment has an absolutely fair price and a perfect cleaning service. This business apartment offers relaxation and tranquility for both leisure and business travelers.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,1930.0,1.0,16.0,POINT (8.5465725 47.4136512),0.007252728130822688,0.0025594507110574412,0.0002472993240050351,0.0005736323736836573,1999.0,Oerlikon,1447.5
158,"
Superior Grand Studio Zurich
Renovated 1.5 room apartment (studio) with 42m2, fully equipped and tastefully furnished. Large kitchen with dishwasher, fridge and freezer. Shower and own washing machine with dryer. Large balcony.

Weekly cleaning of the apartment with change of linen (towels and bed linen) included in the price.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2945.0,1.0,42.0,POINT (8.5445346 47.415439),0.006689891264441643,0.002500695254217518,0.00016119441410925785,0.0015368991813201722,1953.0,Seebach,841.4285714285714
159,"1 Bedroom Apartment Senior
This exclusive 1-bedroom apartment with particularly modern furnishing and an open arrangement is the right choice for up to two people. Its purist design with muted colors and dominant white tones correlates perfectly with chic marble flooring, plenty of glass details and designer furniture creating a glamorous whole. The open-designed living and dining area with a snug sitting corner, flat screen TV and a dining table provides sufficient space to relax. All the daily needs are satisfied by the fully fitted kitchenette with a glass ceramic stove, microwave with baking and grilling options, as well as crockery and cutlery. The separate bedroom is separated from the living area with a glass sliding door and features a comfortable double bed. Behind another glass door, an adjacent bathroom, with a bathtub, hair dryer and company-branded toiletries, is located.

The historical building stands in the very center of the 1st district of Zurich. The Paradeplatz and the world-famous Bahnhofstrasse are both in close proximity. Within a short walking distance, guests will find a plethora of restaurants, bars and clubs and shopping opportunities. The beautiful Sihl can be easily reached on foot. You can also enjoy a walk to the city center alongside the river. The location boasts great public transport links. The tram stop Selnau and the railway station of the same name are right on the doorstep. The tram no. 8 will take you to the downtown in just few minutes. What is more, the Selnau railways station offers excellent connections to the main railway station as well as to the Airport Zurich Kloten (approx. 30 minutes). Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,4090.0,1.0,36.0,POINT (8.531809745689879 47.3698009),0.02290122841547758,0.0016294730755344509,0.00017013546292545792,0.0008942931058978214,1865.0,City,1363.3333333333333
161,"
2 bedroom apartment with patio
As of March 1, 2024, we are renting this attractive 2.0-room apartment in a well-kept property not far from Kreuzplatz, which has, among other things, the following standard of construction:

- all living rooms with parquet floors
- Kitchen with slab floor
- with glass ceramic stove
- with dishwasher
- Bath / WC
- Terrace
- Basement compartment

The rental agreement is initially concluded for a limited period of one year. The rental agreement can then be extended by arrangement.

The photos are sample images that show the standard of construction. You can see the exact room layout in the floor plan.

If required and available, a parking space can be rented.

The property is in close proximity to the lake and Bellevue - the heart of the city. Treat yourself to a trip to the Kunsthaus or the opera, both of which are just a few minutes' walk away.

The Artergut Park is right next to the Zeltweg. Relax in this natural oasis with remarkable trees and historic buildings.


Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”.
You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2337.0,2.0,68.0,POINT (8.55230505171703 47.36691745),0.018429086051229355,0.0024731923027707307,0.0006433063944775887,0.0005765552005850105,1994.0,Hottingen,412.4117647058824
162,"
Exclusive lake view: Luxurious living on the lake promenade!
Welcome to your exclusive dream home! We present you an exquisite luxury apartment that not only enchants with charm and elegance, but also offers a first-class location directly on the picturesque lake promenade, crowned by a unique lake view.

This jewel was extensively modernized in 2011 and is characterized not only by its spacious, light-flooded rooms, but also by a contemporary standard of construction.

Let yourself be seduced by the following sophisticated amenities as of April 1st, 2024:

- Entrance with oak parquet floors and built-in cupboards
- Large living/dining room with oak parquet floors
- and a view of beautiful Lake Zurich
- two bedrooms with oak parquet floors
- open and modern kitchen
- with granite top, dishwasher and plenty of storage space
- separate kitchen island with glass ceramic hob, steam hood and bar
- Bathroom with slab floor, bathtub, shower and toilet
- another bathroom with slab floor, shower and toilet
- own washing tower
- Basement compartment
- Elevator

In just a few minutes' walk you can reach Zurich's renowned Bellevue, from where you can explore all directions with regular tram connections. Stadelhofen train station, a hub for first-class S-Bahn connections, is also within easy walking distance.

In addition, there is a wealth of shopping opportunities, first-class restaurants and bars as well as typical Zurich boutiques and service providers right in your neighborhood.

The enchanting promenade along Lake Zurich is practically on your doorstep and invites you to spend relaxing moments by the water, especially in the summer months.

This maisonette apartment offers you a unique perspective on the vibrant city of Zurich. Live your dream of luxury and city life in perfect harmony. Welcome to your new home.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”.

You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Duplex,8500.0,3.5,169.0,POINT (8.546787605923864 47.36368),0.0243267276711979,0.0025462581508815087,0.00020469037072712214,0.00197325373452567,1910.0,Seefeld,603.5502958579882
165,"
In the heart of Zurich!
This very centrally located 4.5 room apartment impresses with the following standard of construction:

- Living room with parquet
- spacious, closed kitchen with glass ceramic stove
- Corridor with clinker floor
- Bath / WC
- Basement, cellar

The apartment is ideal for commuters, as the Stadelhofen train station is in the immediate vicinity. Shops can be reached in just a few minutes on foot. The Living City of Zurich invites you to linger with its wide range of cultural offerings and countless parks and forests.

The pictures published are apartments of similar type. Deviations from the actual offer are therefore possible.

The viewing takes place as follows, no prior registration required.
- Thursday November 16th, 2023
- from 9 a.m. to 3 p.m
Read more",Apartment,6120.0,4.5,156.0,POINT (8.556698302465081 47.36292095),0.014957026963020618,0.002554574045508235,0.0002270190809471597,0.0009753138071837313,2006.0,Weinegg,470.7692307692308
166,"
Modern Living - Altstetten
We rent this dream home, which was newly built in 2021. This modern and trendy 1.5 room apartment is very centrally located and, in addition to an ideal room layout and a great view, offers you the following amenities:

- bright and friendly entrance area
- large windows for perfect lighting conditions
- Living rooms with oak parquet floors and underfloor heating
- modern and open kitchen
- with glass ceramic stove, dishwasher and oven
- with large refrigerator and freezer drawers
- modern bathroom with connection for washing tower
- Balcony
- Basement compartment
- Elevator

The pictures are sample photos that only represent the installation standard. You can find the exact room layout in the attached floor plan.

If required, parking spaces in the in-house underground car park can be rented separately for CHF 190.00 per month and a moped space for CHF 60.00 per month.

Various service providers and numerous shopping opportunities (Coop, Migros or Denner) can be reached in just a few minutes.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1880.0,1.5,42.0,POINT (8.475157004595589 47.3872378),0.00626116592995693,0.008145226072985188,0.0005033696849054047,0.001495193223122577,1961.0,Altstetten,537.1428571428571
180,"2 Bedroom Apartment Junior
These spacious 2 bedroom apartments are available in various styles. Black leather furniture, elegant glass tables, as well as mosaic details are the dominant design motifs. The open living area tempts with a snug corner sofa with flat screen TV and a dining area. Two separate bedrooms, each of them offering a comfortable double bed or a sleeping sofa, as well as their own TV-set, ensure sufficient privacy. A fully fitted kitchen with a glass ceramic stove, microwave with baking and grilling options, coffee maker, as well as pans, crockery and cutlery provides for all daily needs. The bathroom with a shower or a corner bath is equipped with hand towels, a hairdryer and toiletries. In selected apartments there is also a balcony. This apartment category may only offers sleeping possibility for three people (double size bed and single size bed).

The apartments are set right in the heart of the lively 4th district there is no better place to experience the urban charm of Zurich at first hand. Diverse restaurants, cafes, shops and local pubs are just a few steps away. The legendary Langstrasse with its numerous bars and clubs also lies a short walking distance from the building. Additionally, there are green spaces and small parks in close proximity. What is more, the location offers superb transport links. Right on the doorstep there is a tram stop Bezirksgebäude. The railway station Wiedikon can be reached within 2 minutes walking distance. From here, there are direct connections to the Airport Zurich Kloten (approx. 20 minutes). The main railway station is located 10 minutes away. Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,4090.0,2.0,46.0,POINT (8.5260791 47.3732762),0.020071022621028226,0.0010768600607451227,8.301322465187158e-05,0.0009964155374345947,1891.0,Werd,1066.9565217391305
