,description,type,Rent,Rooms,Living space,geometry,Public_transport,Year,City
67,"
Living in a quiet location
We rent this cozy 3.5 room apartment immediately or by arrangement.

The apartment offers you the following amenities:
Living room and bedroom with parquet floor
Wet cells with bright and easy-care flagstone floor
Large living room with wooden panel ceiling
Pet are allowed.

If required, a parking space can be rented for CHF 100.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,1485.0,3.5,88.0,POINT (8.7238206 47.2758758),0.00446724653760108,1983.0,Oetwil am See
68,"
Modern apartment in Oerlikon
This apartment is a beautiful and modern furnished 1-room apartment. The business apartment offers a double bed on its 18m2 and there is also a dining area with a table and a fully equipped kitchen. Of course, this modern apartment is equipped with a bathroom with a shower.
In the business apartment there is free WiFi access and a flat screen TV. There are washing machines in the basement at your disposal. Storage rooms for long term residents are also available. This inexpensive and central Zurich apartment leaves nothing to be desired.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2520.0,1.0,18.0,POINT (8.5574123 47.4046105),0.0009164245487727618,1935.0,Zürich
69,"
spacious apartment in a central location on Schaffhauserplatz
We are renting this modern 3-room apartment in the immediate vicinity of Schaffhauserplatz as of February 1, 2024 with the following advantages:

- Elegant acacia parquet in ship-floor style
- cozy balcony
- New kitchen with glass ceramic, steamer, dishwasher, granite top
- Exclusive bathroom/toilet and separate guest toilet with dark slab floor
- Higher standard of construction with fine materials

Live your dream home in one of the most sought-after locations in Zurich! An oasis of peace with a central location.

The tram station “Schaffhauserplatz” is 100m away. From there you can reach Zurich main station within 6 minutes.
A parking space can also be rented.

The property was completely renovated in 2010.
Read more",Apartment,2960.0,3.0,93.0,POINT (8.538680217805279 47.3905153),0.001159926164314831,1938.0,Zürich
70,"
Superior Apartment Wallisellen
New and modern 2.5 room apartment with 53m2, fully equipped, large kitchen with dishwasher, walk-in shower, own washing machine with dryer in the apartment, sofa bed, box spring bed. With terrace.

Weekly cleaning of the apartment with change of linen (towels and bed linen) included in the price.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3610.0,4.0,55.0,POINT (8.5924118 47.4134182),0.0009468985253038998,1939.0,Wallisellen
71,"
Central living in Wollishofen - top residential area!
We are renting this great 3-room apartment in a well-kept high-rise right next to Wollishofen train station. The property is ideal for families or shared apartments. In addition to the ideal room layout, this apartment has the following amenities to offer:

- Built-in wardrobe in the corridor
- all living rooms with parquet floors
- spacious living room
- two bright bedrooms
- closed kitchen
- with glass ceramic stove and oven
- with a large refrigerator
- Bathroom
- cozy balcony
- Ceiling heating
- Basement compartment
- Elevator

Parking spaces in the underground car park can optionally be rented for CHF 200.00 if required and available.

The Wollishofen train station is located directly next to the property. From here you can enjoy ideal connections. Other public transport (Morgental stop, tram no. 7 and bus no. 66, 70 and 72) can be reached in a few minutes on foot. The A3 motorway junction is about 2 minutes away by car, from where you can quickly reach the surrounding cantons of Schwyz, Aargau and Zug.

Various service providers and numerous shopping opportunities (Coop or Migros) can be reached within a short walk. The beautiful Lake Zurich, which offers many opportunities for leisure activities, is also not far from the property.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2269.0,3.0,70.0,POINT (8.533391069292415 47.34686315),0.0005029719935801195,1967.0,Zürich
72,"
Right in the middle of Wallisellen
From April 1st, 2020 we rent a 3.5 room penthouse

- Parquet / laminate in the living / dining area, corridor and bedrooms
- partial sloping ceilings
- renovated bathroom
- Kitchen with glass ceramic, dishwasher can be retrofitted
- large covered balcony (south side)
- large reduit
- close to public links
- close to shopping
- Parking or parking space available
- no elevator
Read more",Roof flat,1900.0,3.5,80.0,POINT (8.5894833661938 47.41411395),0.0013743586566087654,1961.0,Wallisellen
73,"
Central living in Opfikon
We are renting this 2.5-room apartment in Opfikon as of January 1st, 2024 or by arrangement. In addition to the attractive floor plan, this pretty apartment has the following amenities to offer:

- Closet in the corridor
- Living room and corridor with parquet floors
- Carpeted bedroom
- Bathroom with bathtub and toilet
- Balcony
- Cellar compartment

The pictures are sample photos that only represent the installation standard. Please see the attached floor plan for the exact room layout.

A parking space in the underground car park can be rented for CHF 135.00 per month.

Shops and the post office are in the immediate vicinity.

The “Neuwiesen” bus stop can be reached in just a few minutes on foot. Bus lines 759 and 761 offer the best connections to Zurich Airport and Glattbrugg Train Station. The motorway can also be reached within a short distance.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1585.0,2.5,47.0,POINT (8.5744159 47.4293964),0.0011675200891234992,1985.0,Opfikon
74,"
Modern apartment with a large balcony
Beautiful and cozy apartment with modern furniture, full equipment and parquet.

The apartment is fully equipped, including a flatscreen TV and WiFi. Household appliances such as coffee machines, kettles, toasters, irons, vacuum cleaners and hair dryers are available. The kitchen is equipped with the usual utensils such as pots, pans, dishes and cutlery.


Please note that the provider charges an additional VAT of 3.7% for guests who do not register in Zurich. on the total rental price.

Note: The prices and data shown are not necessarily final and should be used for informational purposes only. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3262.0,6.0,59.0,POINT (8.6243838 47.442469),0.002169304729010661,1957.0,Bassersdorf
75,"
Modern 3.5 room new apartment with excellent facilities
This 3.5-room new apartment in Hittnau impresses with its outstanding advantages. The spacious living room is open to the kitchen and has a large window fronting the loggia (14 m2), which allows for a great view. With a total of 2 bedrooms and 2 bathrooms, the apartment offers enough space for a small family or a couple who likes to receive guests. The open and newly designed kitchen is a highlight that makes living together and cooking a pleasure.
This new apartment was built in 2023. The modern and cozy interior characterizes the property and creates a stylish ambience. This apartment impresses with its above-average standard of construction, with the floor in the entire apartment and partly the walls of the two wet rooms being laid with fine stone slabs.
Read more",Apartment,2240.0,3.5,101.0,POINT (8.8227794 47.3587601),0.002154480406816606,1880.0,Hittnau
76,"
In the middle of the city of Zurich
We rent this well-located 1.5 room apartment in the middle of Zurich for singles, students or anyone who loves city life.

The apartment offers the following standard of construction and was completely renovated in 2016:

- Flooring in the living area and kitchen with parquet floors
- Bathroom with a shower
- with tiled floor
- modern, bright kitchen
- with dishwasher
- with glass ceramic stove and oven
- Screed compartment for sole use
- Laundry room in the basement for shared use
- Roof terrace with a view over Zurich for shared use

The images correspond to the construction standard and may differ slightly from the object on offer. You can find the exact room layout in the attached floor plan.

Unfortunately we do not have any free parking spaces here.

Please note the minimum contract period of 1 year.

Langstrasse is in the immediate vicinity, where you will find various restaurants, bars and shops.
A walk to the Sihl River invites you to relax and linger.

Does this beautiful apartment meet your expectations?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1820.0,1.5,25.0,POINT (8.5284567 47.3762843),0.0027244379093223363,1892.0,Zürich
77,"2 Bedroom Apartment Senior Balcony
This spacious 2 bedroom flat leaves nothing to wish for. Its chic furnishing, whether with Asian-style accessories, noble brown tones or colorful baroque details, makes this apartment unique. Two separate bedrooms with comfortable double beds, flat screen TV (excl. tax for the use of TV), wardrobe and a working desk provide sufficient privacy. The kitchen is modern and completely fitted with a glass ceramic stove, microwave with baking and grilling options, dishwasher, coffee maker, as well as all the necessary kitchen utensils. The airy dining area with an elegant glass table provides sufficient space for up to 6 people. The open living area with designer furniture and leather sofas is a perfect place to relax. A modern bathroom with a shower, hand towels, a hair dryer and toiletries caters for all needs. Selected apartments also feature one or two balconies.

The apartments are set right in the heart of the lively 4th district there is no better place to experience the urban charm of Zurich at first hand. Diverse restaurants, cafes, shops and local pubs are just a few steps away. The legendary Langstrasse with its numerous bars and clubs also lies a short walking distance from the building. Additionally, there are green spaces and small parks in close proximity. What is more, the location offers superb transport links. Right on the doorstep there is a tram stop Bezirksgebäude. The railway station Wiedikon can be reached within 2 minutes walking distance. From here, there are direct connections to the Airport Zurich Kloten (approx. 20 minutes). The main railway station is located 10 minutes away. Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,4680.0,2.0,54.0,POINT (8.5260791 47.3732762),0.0009964155374345947,1891.0,Zürich
78,"Wunderbare Wiedikon 1.0 Zim.+W-T, +Lag, 1 Min. zum Markt
Entdecke mit dieser Studio/1-Zimmer Wohnung in District 3, Wiedikon, was Zurich zu bieten hat. Komm an, und lebe dich sofort in dieser zeitgenossisch eingerichteten Wohnung mit voll ausgestatteter Kuche, freundlich Wohnzimmer und unserem engagierten Support-Team vor Ort ein. (ID",Furnished flat,2992.0,1.0,28.0,POINT (8.5134876 47.3752681),0.0013820109124794708,1910.0,Zürich
79,"
Bright and modern studio apartment
The apartment is on the 2nd floor of an apartment building. The property is divided into kitchen, bathroom and living room / bedroom. The kitchen is equipped with all important cooking utensils.

The large balcony with a view of the Prime Tower invites you to linger, especially on nice days.

The daylight bathroom has a bathtub.

Note: the prices shown and data are not necessarily final and should be used for informational purposes only. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3119.0,1.0,40.0,POINT (8.53513 47.388169),0.000999108076976856,1929.0,Zürich
80,"
Top modern apartment in District 9, Zurich Albisrieden
Find your new home here in the trendy Albisrieden district, away from the hustle and bustle. The light-flooded apartment has an optimal floor plan, which offers you the following highlights:

-High-quality interior design with a well-thought-out color concept
-Noble parquet flooring
-Bathroom with bathtub
-Open kitchen with, among other things, induction hob and dishwasher
-Reduit
-Large garden seating area
-Washing machine and tumbler in the bathroom
-Personal elevator
-Underground car park
-Bike room
-Cellar compartment

We are pleased to present this apartment to you.
Read more",Apartment,3060.0,3.5,72.0,POINT (8.495951357800227 47.3736528),0.0008521333257601302,1960.0,Zürich
81,"
Exclusive lake view: Luxurious living on the lake promenade!
Welcome to your exclusive dream home! We present you an exquisite luxury apartment that not only enchants with charm and elegance, but also offers a first-class location directly on the picturesque lake promenade, crowned by a unique lake view.

This jewel was extensively modernized in 2011 and is characterized not only by its spacious, light-flooded rooms, but also by a contemporary standard of construction.

Let yourself be seduced by the following sophisticated amenities as of April 1st, 2024:

- Large living/dining room with oak parquet floors
- three bedrooms with oak parquet floors
- Entrance with oak parquet floors and built-in cupboards
- open and modern kitchen
- with granite top, dishwasher and plenty of storage space
- separate kitchen island with glass ceramic hob, steam hood and bar
- Bathroom with slab floor, bathtub, shower and toilet
- two further bathrooms with slab floors, shower and toilet
- own washing tower
- spacious roof terrace with a beautiful view
- Basement compartment
- Elevator

In just a few minutes' walk you can reach Zurich's renowned Bellevue, from where you can explore all directions with regular tram connections. Stadelhofen train station, a hub for first-class S-Bahn connections, is also within easy walking distance.

In addition, there is a wealth of shopping opportunities, first-class restaurants and bars as well as typical Zurich boutiques and service providers right in your neighborhood.

The enchanting promenade along Lake Zurich is practically on your doorstep and invites you to spend relaxing moments by the water, especially in the summer months.

This maisonette apartment offers you a unique perspective on the vibrant city of Zurich. Live your dream of luxury and city life in perfect harmony. Welcome to your new home.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”.

You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Duplex,13250.0,4.0,215.0,POINT (8.546787605923864 47.36368),0.00197325373452567,1910.0,Zürich
84,"
Hip Altstetten, 2.5ZW with cellar
Feel at home, no matter where you want to live. You will love this comfortably furnished District 9, Altstetten 2-room apartment with modern interior design, fully equipped kitchen, and cozy living room. Ideally located, you are close to the best Zurich has to offer! (ID",Furnished flat,3406.0,1.0,79.0,POINT (8.4899933 47.3870759),0.0001427574865126529,1953.0,Zürich
85,"
Living near Triemli Hospital
You like the city and want to live there. Where distances are short: to work, to culture, to going out.

Then Triemlistrasse 153, 8047 Zurich is your best address!

- entire apartment with parquet floors
- modern kitchen with dishwasher
- and glass ceramic stove
- Bathtub/toilet
- Balcony
- Cellar compartment

The photos are sample images that show the standard of construction. You can see the exact room layout in the floor plan.

If available, a parking space can be rented for CHF 160.00 per month.

The “Zürich, Triemli” bus and tram stop is very close to the property. Various shopping and leisure options can be easily reached on foot.

Does this beautiful apartment meet your expectations?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2603.0,3.5,75.0,POINT (8.494104055823108 47.36849145),0.0013176283888193425,1980.0,Zürich
86,"
Living in a child-friendly property
We rent a bright apartment that impresses with the following features:

- Laminate flooring (carpet in bedroom still to be replaced)
- Bright dining and living area
- Open kitchen with glass ceramic hob
- Bathroom/WC and separate toilet
- Balcony
- separate cellar compartment

Please ring the bell for Mrs. Rüegg.

Parking spaces for CHF 125/month can also be rented.

The property is located in a busy area and is well connected to public transport. The stop is a 2-minute walk from the house, and the Buchs-Dällikon train station can be reached within 10 minutes on foot. Shopping opportunities are also in the immediate vicinity. Kindergarten, primary school and high school are within 600 meters.

Interested? Contact us for a viewing appointment!

Note: The published images are sample photos, so deviations are possible.
Read more",Apartment,1660.0,4.5,83.0,POINT (8.4418713 47.4572353),0.000988107216483076,1982.0,Buchs (ZH)
87,"
Paradise property in Forch - 9 rooms for incomparable living comfort
This exclusive single-family home in the enchanting municipality of Forch in the canton of ZH is a true gem. The spacious living room offers plenty of space for cozy hours with family and friends. The modern kitchen is a highlight and invites you to cook and enjoy. With seven bedrooms and four bathrooms, the house offers enough space for all residents. A cellar or attic is also available. Parking is plentiful, including two garage parking spaces. Schools are just 311 m away and transport links just 621 m away.
This well-maintained property was built in 1971 and is in excellent condition. The standard of construction and the regional environment are of high quality and offer a quiet and relaxed living experience. The property is equipped with radiators and underfloor heating, which provide cozy warmth in the cold months.
Read more",Single house,8995.0,9.0,380.0,POINT (8.653714741317511 47.32878665),0.001786344444282451,1970.0,Maur
88,"
Historic single-family house Wellenberg with lake and mountain views in Hombrechtikon
Spacious, historic manor house from 1786, lovingly restored in close collaboration with the cantonal monument preservation authority in 2013. Here the historic building fabric blends harmoniously with contemporary architecture.
The property extends over a total of approximately 3,500 m2 and offers a sun-drenched hillside location with its own vineyard, which is cultivated by a local farmer.
Read more",Single house,6500.0,9.0,300.0,POINT (8.7606779 47.2424363),0.0031884102692438187,1702.0,Hombrechtikon
89,"
Your apartment search ends here
As of May 1st, 2023 we rent this beautiful and modern 3.5 room apartment.

The apartment offers you the following amenities:
Living room and bedroom with parquet floor
Kitchen and wet cells with easy-care, bright flagstone floor
Kitchen with ceramic hob, oven, dishwasher and plenty of storage space for your kitchen utensils
Pets are allowed in this property.

If required, a parking space can be rented for CHF 130.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,1800.0,3.5,109.0,POINT (8.6296464 47.3580518),0.0004880109722546094,1993.0,Maur
90,"
Renovated apartment in a central location
We rent this renovated apartment in a quiet and very central location. The apartment offers you the following standard of construction:

- closed kitchen
- Glass ceramic stove
- Granite cover
- Dishwasher
- Washing tower (washing machine and dryer)
- Bathroom with bathtub
- Slab floors in kitchen and bathrooms
- beautiful parquet floors in the living room and bedroom
- spacious balcony facing the inner courtyard
- Roof terrace for shared use

The property is located in a quiet neighborhood street between Manesseplatz and Schmiede Wiedikon. Public transport is easily accessible on foot. Numerous shopping opportunities as well as restaurants and other small businesses are in the immediate vicinity. The property does not have a lift.

Let us convince you of the apartment during a viewing. We are looking forward to your contact.
Read more",Apartment,3070.0,3.0,77.0,POINT (8.521375804343869 47.367320500000005),0.0016516335557302283,1896.0,Zürich
91,"
Penthouse apartment
The 1-room penthouse apartment is on the upper floor of the house.
The highlight of the apartment is its own roof terrace.
The studio has a double bed, a sofa corner with TV, an open, fully equipped kitchen and a bathroom.
In the apartment It is a high-quality furnished apartment that is suitable for one to two people.
The bedroom has a wardrobe and a double bed (200x160 cm).
Wireless internet access is included in the booking price. Also included are all ancillary costs, the weekly cleaning of your apartment, changing the bed linen and shared use of the laundry room.

You can register with the city with the rental agreement.

Note: The prices and dates shown are not mandatory final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,3696.0,1.0,34.0,POINT (8.5573209 47.3562853),0.0011939144036247648,2011.0,Zürich
92,"
Temporary apartment in a prime location in Wädenswil until June 30, 2024
Due to an impending complete renovation, we are renting this apartment for a limited period until June 30, 2024.

The closed kitchen and the bathroom/toilet are very comfortable. The living/sleeping area is equipped with a fireplace. The sunny balcony invites you to linger on nice days.


Could this be your temporary home? Then the current tenants will be happy to show you the apartment.




Attention: The pictures are sample photos of an apartment of the same type on the ground floor.
Read more",Apartment,845.0,1.5,39.0,POINT (8.6763313 47.2261057),0.0015904667946607808,1963.0,Wädenswil
93,"
centrally located apartment - rent without deposit
We rent the centrally located apartment for a limited period until November 30th, 2026, immediately or by arrangement. The apartment has the following key details:

- Sep. Kitchen with glass ceramic
- Bathroom with window
- Living room parquet
- Basement and attic compartment
- Balcony

- Quiet and central location
- Public transport and shopping opportunities in the immediate vicinity

************
The pictures do not correspond to the original, but the standard of construction is the same.
Read more",Apartment,2450.0,3.0,81.0,POINT (8.544806341574475 47.3909359),0.0007352314942994381,1938.0,Zürich
94,"
Beautiful, central apartment in Winterthur
Whether in the city center of Winterthur or on the motorway towards Zurich/St. Gallen/airport is only a few minutes away. The center of Wülflingen is also in the immediate vicinity. Here you can run daily errands. The Badi Wülflingen, kindergarten and school building can also be reached in a few minutes on foot.

The apartment offers its new residents the following:

- Bright kitchen with dishwasher, ceramic glass and oven
- Bathroom with bathtub and natural light
- Bedroom with parquet floors
- Built-in wardrobes in the corridor
- Balcony
- Blue zone for parking nearby

Have we aroused interest?

For a viewing appointment, application link and further information, send us a message using the “Contact provider” contact form. You will then receive an automatic message with all the necessary information.

*The pictures show the standard of the property and do not always correspond to the apartment on offer.*
Read more",Apartment,1352.0,3.0,63.0,POINT (8.693107540947041 47.51284625),0.0022993592873559875,1968.0,Winterthur
95,"
Charming apartment in a quiet location
We are renting this beautiful 2-room apartment in the HP in Winterthur as of December 1, 2023. The apartment offers you:
Eat-in kitchen with ceramic tile floor including glass ceramic
Living room parquet
Room with laminate flooring
modern, bright bathroom with toilet

The property is located near the Canton Hospital of Winterthur. The city center and Winterthur main train station can be reached in just a few minutes on foot.

Let us convince you of the apartment during a viewing.

We are looking forward to your contact.

These are sample images that show the standard of construction. Please see the floor plan for the exact room layout.
Read more",Apartment,1440.0,2.0,55.0,POINT (8.723241893218288 47.50650995),0.0026135564151346736,1967.0,Winterthur
97,"
Studio without in-room kitchen but with shared kitchen
The rooms are aimed at short trips and business people planning a few days with little luggage. But also to long-stay guests who are traveling on a small budget and do not want a kitchen. Alternatively, the guest can find his kitchen and a comfortable living room in our eat-in kitchen on the ground floor.
The following services are included
â€¢ Use of the kitchen in the loft with certificate
â€¢ Wifi, satellite TV
â€¢ Air conditioning
â€¢ Self-service laundry and dryer
â€¢ Use of the dishwasher on the ground floor or basement
â€¢ Additional costs WiFi, TV, electricity, water, general costs, laundry

Note: The prices and dates shown are not necessarily final and should only be used used for informational purposes. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,1890.0,3.0,25.0,POINT (8.4733553 47.4377655),0.0011827891709917228,1996.0,Regensdorf
98,"
Modern living in the center of Oerlikon
We are renting a 2-room apartment to a high standard in an attractive residential area in Oerlikon with immediate effect or by arrangement.
The residential property offers you the following amenities:

- TOP equipped kitchen (steamer, glass ceramic, etc.)
- quiet residential development
- Entire apartment with parquet
- All shopping options can be reached in a few minutes on foot
- Public transport connection in front of the house
- Oerlikon train station can be reached in just 5 minutes on foot
- The exhibition center can be reached in just a few minutes by tram/bus
- Parking spaces can be rented if required

Have we piqued your interest? Then we look forward to receiving your application!

It is important to note that the images advertised are only sample images.
Read more",Apartment,2950.0,2.0,122.0,POINT (8.5394081 47.4137961),0.0015823427682761589,2006.0,Zürich
99,"2 Bedroom Apartment Senior
This modern 2 bedroom apartment is suitable for up to 4 people. High-quality materials, designer furniture and chic colors give the apartment the unique style. The living area is furnished with a comfortable sitting corner, flat screen TV and a dining table. The full fitted kitchen caters for all the daily needs: a glass ceramic stove, microwave with baking and grill function, coffee maker, cutlery and crockery. The two separate bedrooms boast a snug double bed, flat screen TV, a wardrobe and a working desk. In the spacious and modern bathroom with glass sliding door, a bathtub or shower is featured, as well as a double washbasin, not to mention hand towels, a hairdryer as well as company-branded toiletries. The apartment is available in two different design versions: either Asian, including onyx stone and various yellow and gold shades or urban chalet style, with natural materials and earthy tones.

This flagship apartment house is located in the urban area of the 3rd district of Zurich. The SZU station Giessh'bel is situated just on its doorstep (five minutes to the main railway station), while the surrounding traffic arteries can be accessed quickly by a private car. The closest bus and tram station is also not far away. The city center and the lake can be reached within a few minutes by public transport. The direct vicinity offers some restaurants, bars, as well as shopping possibilities. The shopping center Shilcity with numerous shops, restaurants and a cinema is just around the corner. Moreover, local recreation areas Sihl and Allmend Brunau are situated nearby. The Airport Zurich Kloten can be reached within 30 minutes.

Read more",Apartment,4650.0,2.0,57.0,POINT (8.522196068843808 47.3622153),0.0004936660141055884,2013.0,Zürich
100,"1 Bedroom Apartment Senior
This bright and exclusive self-contained apartment in the villa leaves nothing to desire. Its spacious layout is divided into two rooms with high ceilings and a nice view. Beautiful parquet flooring, designer furniture as well as playful details permeate the apartment with an aura of charming elegance. The living and dining area tempts with exquisite sofas and a matching coffee table, flat screen TV and a dining corner. The modern kitchen is fully fitted and caters for all the daily needs offering a glass ceramic stove, microwave with baking and grill function, coffee maker, dishwasher, as well as pans, crockery and cutlery. The separate bedroom tempts with a snug double bed of top quality leather, a working desk and flat screen TV. A built-in wardrobe provides sufficient space for personal belongings. Here you will surely find the tranquility and privacy so indispensable in a house. The elegant marble bathroom is yet another oasis. Apart from the bathtub, it features also a hair dryer, hand towels and company-branded toiletries. Moreover, the apartment features its own washing machine with a tumbler.

The villa is situated in a beautiful location of the 2nd district. Nestled in a picturesque garden landscape with a view over the city, the Zurich lake and the Alps, the location leaves nothing to be desired. The lake promenade and the Belvoir park are just a few steps away from the property. The quiet and yet central location, as well as plenty of adjacent green spaces and recreational areas offer a relaxing respite from the hectic daily routine. Retail opportunities are just minutes on foot away. The city center can be conveniently reached in just 10 minutes thanks to public transportation. The transfer to the Airport Zurich Klotent takes less than 40 minutes.

Read more",Furnished flat,4800.0,2.0,60.0,POINT (8.53006331183184 47.3526404),0.0022438407272781426,1907.0,Zürich
101,"
Great Seefeld, 1 bedroom office, near the lake
Come and feel at home from day one in this 2-room apartment in Zurich. You will love this tastefully furnished, particularly well thought-out and fully equipped District 8, Seefeld apartment. (ID",Furnished flat,3374.0,1.0,78.0,POINT (8.5565121 47.3555269),0.0005265247270622866,1971.0,Zürich
102,"
Rent without bail !!
This quiet home in green surroundings is waiting for you in Rafz:

- Oak parquet floors in all rooms
- Wet cells with fine stone slab surface textured black
- Bathroom with bathtub and window
- White kitchen front, black granite work surface,
High oven and large dishwasher
- 2-part cleaning, shelf and cloakroom cupboard with doors
- Terrace
- own laundry rooms in the basement
- Basement compartment
- Reduit in apartment for additional storage space
- Parking spaces CHF 130 per month

The pictures show a similar apartment.

If we have aroused your interest, then do not hesitate, arrange a non-binding individual viewing appointment today. We look forward to hearing from you.
Read more",Attic flat,1640.0,2.5,83.0,POINT (8.55090130289256 47.6146457),0.0024159318883260603,2011.0,Rafz
103,"2 Bedroom in Zurich Center
The self-check-in apartments offer a kitchen and a bathroom in a typical Zurich residential district in a quiet location in the city centre, close to the Sihl Promenade and many transport connections.

Friendly and appealingly furnished apartments, fair rates and a perfect housekeeping service guarantee a pleasant stay. The Apartments offer leisure and business travellers alike relaxation and tranquility in apartments with great infrastructure and facilities.

Hinweis: Die angezeigten Preise und Daten sind nicht unbedingt final und sollten nur zu Informationszwecken verwendet werden. Sie sind nicht Vertragsgegenstand und demnach nicht verbindlich.

Energieausweis
Dieses Gebaude unterliegt nicht den Anforderungen der EnEV.
Read more",Furnished flat,3610.0,2.0,40.0,POINT (8.5216742 47.3680541),0.0013655634668408296,1978.0,Zürich
104,"
Large balcony overlooking Lake Zurich
We rent this 3.5-room apartment by arrangement, with an excellent view, which has the following amenities:

- Modern kitchen with ceramic glass and dishwasher
- New bathroom
- Living room with parquet
- Bedroom with linoleum
- Large balcony with lake view
- Small kitchen balcony

Unfortunately there are no parking spaces available at this property.

The images represent the standard construction and may differ slightly from the object on offer. Please see the attached floor plan for the exact room layout.

The “Wädenswil, Eichweid” bus stop is in the immediate vicinity and will take you to Wädenswil train station in 10 minutes. From there, direct trains take you to Zurich HB.

There are also numerous shopping opportunities and other service shops at Wädenswil train station.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1746.0,3.5,72.0,POINT (8.676047199180326 47.217483400000006),0.0009587318087540319,1970.0,Wädenswil
105,"
Quiet, furnished room in a shared flat
The shared room is almost 10 square meters and very quiet. It is functionally furnished, has its own floor and free internet.

A refrigerator and a microwave oven can be provided for the room on request. Cooking utensils for use in the shared kitchen are available.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,1020.0,2.0,10.0,POINT (8.7618645 47.3232772),0.005240040372788536,1972.0,Gossau (ZH)
106,"
Modern business apartment Zurich Oerlikon
The Zurich Oerlikon Apartment is a beautiful and modern furnished 2.5 room apartment. The 38m2 business apartment offers a bedroom with a double bed and a living room with a sofa bed. There is also a seating area with a table and a fully equipped kitchen. There is also a balcony for the warm days. Of course, this modern apartment is equipped with a bathroom with a shower. The apartment boasts an excellent location. It is located in the heart of the Zurich Oerlikon district. Both Zurich-Kloten Airport and the city center of Zurich with the Bahnhofstrasse and Bellevue can be reached in a few minutes from the apartment.
In the business apartment there is free WiFi access and a flat screen TV. There are washing machines in the basement at your disposal. Storage rooms for long term residents are also available. The inexpensive Zurich Oerlikon Blueberry III apartment close to the center leaves nothing to be desired.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2800.0,4.0,38.0,POINT (8.5574123 47.4046105),0.0009164245487727618,1935.0,Zürich
108,"
WITHOUT RENTAL DEPOSIT - new good - I like to come home here!
The Neugut residential complex in Dübendorf is located on the Chriesbach and is surrounded by an extraordinary variety of services, as well as public transport and motorway connections directly in front of the house. Local recreation and culture as well as numerous shopping and catering options are available nearby.

The apartments offer the following standard of construction:
- All living rooms and bedrooms with high-quality light oak parquet
- Multimedia connection in the living room and master bedroom, fiber optic connection option
- Open, modern kitchen with ceramic glass and dishwasher
- Washing machine and tumble dryer in the apartment
- Large balcony
- Separate cellar compartment
- Redoubt
- Controlled apartment ventilation, buildings in Minergie standard

Photos show the standard.

See for yourself with a personal viewing appointment!
Read more",Apartment,1740.0,2.0,88.0,POINT (8.6067996 47.404787),0.0025259011587294433,2010.0,Dübendorf
