,description,type,Rent,Rooms,Living space,Complete Address
173,"
Bright 3.5 room apartment in Winterthur
We rent a beautiful 3.5 room apartment in Winterthur Wülflingen.

The bright apartment impresses with:
- Beautiful parquet floor
- Bright kitchen with granite countertops and dishwasher
- Spacious bathroom with bathtub and double sink
- Built-in wardrobe in the corridor
- Spacious, bright living room
- Additional storage room in the apartment
- Lift available
- Cellar compartment available
- Blue zone nearby for parking
- Pets are allowed (no listed dogs)
- Great location, the swimming pools, schools, shops and much more can be found in the surrounding area.

Have we aroused interest?

For a viewing appointment, application link and further information, send us a message using the “Contact provider” contact form. You will then receive an automatic message with all the information.

The photos are of a comparable apartment.
Read more",Apartment,1710.0,3.5,82.0,"Wülflingerstrasse 349, 8408 Winterthur"
174,"
Cozy apartment in Winterthur
We are renting a beautiful 3.5-room apartment in Winterthur as of February 1st, 2024. From here you are well connected and can reach St. Gallen, Zurich and the airport within a short time.

The bright apartment impresses with:
- Beautiful parquet floor
- Bright kitchen with granite countertops and dishwasher
- Spacious bathroom
- Lift available
- Parking spaces can be rented for CHF 130.00/month
- Pet are allowed
- Great location, the swimming pools, schools, shops and much more can be found in the surrounding area.

Have we aroused interest?

For a viewing appointment, application link and further information, send us a message using the “Contact provider” contact form. You will then receive an automatic message with all the necessary information.

The photos are of a comparable apartment. See this beautiful and well-maintained apartment for yourself in person.
Read more",Apartment,1611.0,3.5,82.0,"Wülflingerstrasse 349, 8408 Winterthur"
176,"2 Bedroom Apartment Junior
This 2 bedroom apartment offers temporary accommodation for up to 3 people. Thanks to its purist design with muted colors, dominant white tones, glass details and designer furniture, the apartment is chic and welcoming. Two separate bedrooms with a double bed or a sofa bed, wardrobe and a working desk ensure sufficient privacy. Each bedroom is accompanied by an adjacent bathroom with a bathtub or shower, which is separated from the sleeping area by a glass wall. The open living and dining area tempts with a snug sitting corner with flat screen TV and a dining table. A fully fitted kitchen with a glass ceramic stove, microwave with baking and grilling options, coffee maker, as well as crockery, pans and cutlery provides for all the daily needs.

The historical building stands in the very center of the 1st district of Zurich. The Paradeplatz and the world-famous Bahnhofstrasse are both in close proximity. Within a short walking distance, guests will find a plethora of restaurants, bars and clubs and shopping opportunities. The beautiful Sihl can be easily reached on foot. You can also enjoy a walk to the city center alongside the river. The location boasts great public transport links. The tram stop Selnau and the railway station of the same name are right on the doorstep. The tram no. 8 will take you to the downtown in just few minutes. What is more, the Selnau railways station offers excellent connections to the main railway station as well as to the Airport Zurich Kloten (approx. 30 minutes). Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,4890.0,2.0,46.0,"Gerechtigkeitsgasse 8, 8001 Zürich"
177,"
modern living in the trendy Wipkingen district
We rent this bright and spacious 3-room apartment on the 1st floor (no elevator) in a central location by arrangement. This apartment has the following standard of construction:

- Bright living room and bedroom with parquet floors
- ceramic floor tiles in the kitchen, wet room and corridor
- Kitchen with dishwasher, glass ceramic and granite top
- Bathroom with bathtub
- practical built-in wardrobes in the corridor
- Own washing tower
- spacious balcony
- Basement compartment

The property is centrally located in Wipkingen. In the lively district you will find numerous restaurants, cozy cafés and direct access to the Lettenbadi. Of course, an in-house delicatessen for everyday needs or for gourmets is a must. Public transport is in the immediate vicinity.
Read more",Apartment,2650.0,3.0,74.0,"Nordstrasse 89, 8037 Zürich"
179,"
Beautiful 3.5 room new apartment in a great residential area in Bülach
Living with style in Bülach - you will be amazed by this property! The first-class apartment with 3.5 rooms is located in the sought-after Bülach region and impresses across the board. The living room is flooded with light thanks to large windows and exudes a cozy atmosphere. The modern, open kitchen offers all amenities. The apartment also has two bedrooms and two bathrooms, which offer the highest level of comfort. The balcony invites you to relax and enjoy the beautiful surroundings. A practical cellar, an elevator and an indoor parking space are also available. In the surrounding village you will find everything you need.



Read more",Apartment,2300.0,3.5,80.0,"Dachslenbergstrasse 8A, 8180 Bülach"
180,"
In the middle of circle 3
In a central location on the 6th floor we rent a 2.5 room apartment with the following features:

- Living rooms with parquet
- Bathroom with ceramic floor tiles
- Bathroom with bathtub
- Washing tower
- Cellar compartment

The property is located in the busy district 3 in Wiedikon. With various shopping opportunities and good connections to various public transport, it can be reached on foot within five minutes.
Read more",Apartment,2650.0,2.5,84.0,"Manessestrasse 6, 8003 Zürich"
181,"
Exclusive 2.5 room attic apartment in Weiach - perfect for singles and couples
We are pleased to introduce you to this beautiful 2.5 room attic apartment in Weiach. Experience a modern feeling of living in the middle of the village center with a wonderful view into the distance.
The apartment impresses with its modern, light parquet floors in the living and dining areas, which create a warm and inviting atmosphere. The rest of the apartment is equipped with a modern cast concrete floor, which not only looks stylish but is also extremely easy to maintain. The modern kitchenette also leaves nothing to be desired.
Read more",Roof flat,1823.0,2.5,76.0,"Stadlerstrasse 3, 8187 Weiach"
183,"
Brand new modern and well located studio
This furnished apartment is the ideal accommodation for business travelers coming to Zurich. The furnished apartment impresses with its unique location and elegant design. In the studio you will find everything you need for work and leisure. in the comfortable living/sleeping area you will feel at home and in the kitchen you will find everything you need to cook. Of course, the apartment has its own bathroom with shower. All in all, this furnished business apartment offers all-round comfort in a prime location!

The apartment in Zurich includes the following services: WiFi Internet, satellite TV with international channels, laundry facilities, monthly cleaning (from a 45-night stay), bed linen, towels and all additional costs.

In the basement there are washing machines and dryers for free shared use.

The Serafe radio and television fee is not included in the rental price and must be paid by the tenant.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2464.0,1.0,19.0,"Forchstrasse, 8008 Zürich"
184,"
cozy and inviting
A sunny and very spacious studio apartment awaits you with high-quality furnishings such as a comfortable box spring bed.
The apartment has a separate kitchen and a balcony with a view of the Uetliberg.
The apartment is fully equipped, including a flat screen TV and WiFi. Household appliances such as a microwave, coffee maker, kettle, toaster, iron, vacuum cleaner and hair dryer are available. The kitchen is equipped with the usual utensils such as pots, pans, crockery and cutlery.

Please note that the provider charges an additional VAT of 3.7% for guests who will not register in Zurich total rental price.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3340.0,1.0,35.0,"Zeltweg, 8032 Zürich"
185,"
2.5 room furnished apartment with 30m2 terrace, garage space and own...
Thanks to the many window fronts, the apartment is very bright and flooded with light.
The apartment has a large terrace with all-day sunshine.
Entrance hall with cupboard.
Own laundry room on the ground floor.
Parking space in the underground car park available.

Beautiful open kitchen with refrigerator, stoves, washing machine, convection oven, glass ceramic hob and dishwasher. Kitchen fully equipped with crockery, cutlery, pans, cooking utensils, etc.
Bathroom with toilet, washbasin, bathtub with glass door, very spacious. Bathroom with window.
Own laundry room/cellar on the ground floor.

Equipment
A fully furnished bedroom with bed (1.40 m wide), 4-door wardrobe, 3 mirrors, chest of drawers, 2 bedside tables, 1 armchair, flat-screen TV, wall pictures, etc.

Dining and living room with a round table, 4 chairs, sofa bed, wardrobe, large chest of drawers, TV furniture, flat screen TV, small chest of drawers, mirror, wall paintings, etc.
Access to the terrace with a view the garden.

Bed linen and bath towels, vacuum cleaner, ironing board, iron, etc. are available.
TV and unlimited WiFi Internet connection are also available and without additional costs.
Telephone and calls within the Swiss telephone network included ( Landline and mobile network).

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2720.0,7.0,64.0,"Wehntalerstrasse, 8157 Dielsdorf"
186,"
business apartment
This business studio apartment (37 m2) is the perfect accommodation for business travelers and an attractive alternative to hotel rooms. The comfortable business studio apartment (37 m2) with balcony is suitable for one or two people. The 1.5 room apartment has been newly renovated and is furnished in a modern style. Your studio bedroom is equipped with a multimedia station, a large double bed (210x200 cm), two bedside tables, a large wardrobe and a comfortable armchair as well as a dining table with two chairs and a sideboard. The studio offers a separate kitchen with a dining area and a bathroom with a bathtub, as well as a corridor with a built-in wardrobe. Wireless Internet access is included in the booking price. Also included are all ancillary costs, the weekly cleaning of your apartment, changing the bed linen and shared use of the laundry room.

You can register with the city with the rental agreement.

Note: The prices and dates shown are not mandatory final and should be used for informational purposes only. They are not part of the contract and therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,2688.0,1.0,37.0,"ForchstraÃŸe, 8032 Zürich"
189,"
The perfect single apartment
As of April 1st, 2023 we are renting this beautiful 1.0 room apartment in Zurich.

The apartment offers you the following amenities:
Living/sleeping room with parquet floor
Bathroom with easy-care tile floor
Bright and spacious living room/bedroom
Pet are allowed.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,975.0,1.0,19.0,"Sandacker 2, 8052 Zürich"
190,"
Living in idyllic park
We rent this attractive 3.5-room apartment in a well-kept environment, which has plenty of natural light thanks to the floor-to-ceiling window and also offers you the following amenities:

- Living room and bedroom with parquet floors
- open kitchen
- with glass ceramic stove
- Dishwasher is available
- with convection oven and steamer
- Bathroom/WC with slab floor
- Shower/toilet with slab floor
- with its own washing tower
- the kitchen, the corridor and the wet rooms are included
Equipped with halogen ceiling spots
- spacious balcony
- The cellar compartment is easily accessible via the elevator

These are sample photos, which are for illustrative purposes only and may differ slightly from the object on offer. Please see the floor plan for the exact room layout.

If required, parking spaces can be rented for CHF 140.00 per month, as well as a double parking space for CHF 240.00 per month.

The Hertensteinstrasse bus stop, which is served by bus line 40, takes you to Seebacherplatz and Bucheggplatz and is within a short walking distance. The Zurich, Seebach tram stop, which is served by various lines and takes you towards Oerlikon train station, among others, is also close to the property.

Various shopping opportunities such as a Coop, a Denner and a pharmacy as well as various restaurants are also nearby.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,2199.0,3.5,91.0,"Katzenbachstrasse 223, 8052 Zürich"
191,"
Living in beautiful Wollishofen with a lake view ""Temporary until February 1st, 2024""
In addition to the quiet and central location, your new home in Zurich-Wollishofen has the following features to offer:

- Living room with parquet floors
- Entrance with wardrobe
- modern open kitchen
- bright toilet with bathtub
- Basement and attic compartment
- small balcony
- Elevator

These are sample images that show the standard of construction.

The rental agreement is issued for a limited period of 1 year.

Depending on availability, a parking space can be rented for CHF 170.00 per month.

In 2 minutes you can reach Lake Zurich. Public transport, as well as Migros and Coop are also in the immediate vicinity.

Please get your own impression of the apartment on the official viewing dates.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2240.0,2.0,55.0,"Renggerstrasse 86, 8038 Zürich"
192,"
Beautifully renovated apartment with a view of the mountains
In the “Vogelsang” development, which was renovated in 2019, we rent a 4½-room apartment with the following advantages:

- All rooms with parquet floors, wet rooms with slab floors
- Bathroom/WC with washing tower
- Shower/WC with glazed shower cubicle
- Kitchen with induction hob, oven and dishwasher
- Built-in wardrobes in the corridor
- Covered balcony with electricity and light
- Own cellar compartment

Parking space and craft rooms are available and can be rented.

A property with LIVING SERVICES | www.livingservices.ch

*Photos show standard*
- Multimedia socket
Read more",Apartment,1920.0,4.5,95.0,"Preyenstr. 37, 8623 Wetzikon ZH"
193,"
A freshly renovated home awaits you in the countryside!
We are renting out these attractive and newly renovated 5.5-room apartments in a well-kept settlement with green surroundings, immediately or by arrangement. The development is accessed through a neighborhood street and is therefore very quiet. The residential property impresses with the following amenities;

- large living room with parquet floors
- four lockable bedrooms with parquet floors
- semi-open kitchen with slab floor and window front
- with granite cover
- with glass ceramic stove
- with dishwasher
- Corridor with closet
- modern bathroom/toilet with slab floor
- covered balcony
- Basement compartment

These are sample images which are for illustrative purposes only and may differ slightly from the object. You can find the exact room layout in the attached floor plan.

If necessary, a parking space can be rented for CHF 125.00 per month.

In just a few minutes' walk you can reach the ""Plattenhof"" stop, from where you can either take bus number 880 to Rüti train station or bus number 970 to Feldbach train station.

In the center of Hombrechtikon, which can be reached in five minutes on foot, you will find shops such as a Coop, a Migros or a Denner.

You will also find various restaurants in the center such as a pizzeria, a Portuguese restaurant or a traditional Swiss restaurant.

There are various leisure options available, such as a cinema, a fitness studio, the Risi seaside resort or Lake Zurich, which invites you to walk and linger.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,1840.0,5.5,105.0,"Heusserstrasse 17, 8634 Hombrechtikon"
194,"
Business apartment near the airport
This inexpensive and modernly furnished 3-room apartment (60 m2) in the Zurich agglomeration has its own balcony, a fully equipped kitchen and a bathroom with a bathtub. There are practical built-in wardrobes in the entrance area. The bedrooms have double beds (160x200 cm) and wardrobes, and the larger bedroom also has a desk. If desired, up to two additional beds can be added.

The apartment also includes free WiFi, satellite TV and a flat-screen TV with multimedia system (Blu-Ray/DVD/CD player). Bed linen and towels are provided. A self-service launderette is available on site. We will clean your apartment once a week for an additional charge.

With the rental agreement you can register with the city.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not the subject of the contract and are therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,2564.0,4.0,60.0,"Ringstrasse, 8306 Brüttisellen"
195,"
1-room apartment in district 7 for rent!
We are renting this small but nice 1-room apartment in District 7 as of November 24th, 2023 or by arrangement, which offers you the following expansion:

- Parquet floors in the room
- New PVC flooring in the kitchen
- Glass ceramic hob
- Shower
- Cellar compartment

Thanks to the top location, you can reach the “Hottingerplatz” tram station within 1-2 minutes on foot. You can also reach Zurich HB within a few minutes by public transport. We are looking forward to your contact.
Read more",Apartment,1340.0,1.0,27.0,"Gemeindestrasse 31, 8032 Zürich"
196,"
3-room apartment with balcony near ETH and University in Zurich
Welcome to this cozy 3-room apartment in the sought-after District 12 in Zurich, which will be available from February 1, 2024. This apartment offers a sunny balcony, is furnished and fully equipped to maximize your living comfort.
The bright apartment offers two spacious bedrooms, a living room with a balcony and a prime location. You will enjoy the following benefits:
Read more",Furnished flat,2235.0,3.0,76.0,"Roswiesenstrasse 183, 8051 Zürich"
197,"
Modern 5.5 room apartment with a large terrace in Elsau
Very nice 5.5 room apartment for rent at Unteren Schärerstrasse 6, 8352 Elsau. The apartment extends over a generous area of 140 m2 and offers a breathtaking view. It is ideal for families or people looking for space and comfort.
The highlight of the apartment is undoubtedly the spacious terrace with an attached garden and barn. Here you can enjoy nature, relax and spend your free time outdoors. A special highlight is the barbecue area with a barbecue and a pizza oven. Here you can put your grilling skills to the test and prepare delicious homemade pizzas.






Ground floor: living room, laundry room, bath/shower
Read more",Terrace flat,2650.0,5.5,140.0,"Untere Schärerstrasse 6, 8352 Elsau"
199,"
Lifestyle business room with community kitchen
Rooms:
- Fully furnished
- Modern and luxurious design
- Box spring bed: High-quality beds for ideal sleeping pleasure
- WiFi and landline connection, TV, free WiFi
-
Small satellite kitchen/communal kitchen in the basement
- Microwave station\ n- Cooking stations
- Fridge


Compulsory services:
- Taxes CHF 4.-- per person",Furnished flat,1631.0,1.0,24.0,"Eichwatt, 8105 Watt"
200,"
Your new home is waiting for you here, “limited until September 30th, 2024”
The child-friendly property is located in a top residential area. Public transport and shopping opportunities are in the immediate vicinity.

The apartment can be rented as of November 1st, 2023 or by arrangement and offers you the following comfort:






Read more",Duplex,2000.0,4.5,114.0,"Lindenstr. 17, 8302 Kloten"
201,"2 Bedroom Apartment Junior
This modern 2 bedroom apartment can accommodate up to 4 people. High-quality materials, designer furniture and elegant colors give the apartment that certain something. Its living area is furnished with a comfortable sitting corner, flat screen TV and a dining table. The fully fitted kitchen provides everything for the daily needs: a glass ceramic stove, microwave with baking and grill function, coffee maker, cutlery and crockery. The two separate bedrooms boast a comfortable double bed, flat-screen TV and wardrobe. The spacious and modern bathroom with glass sliding door features a bathtub or shower, hand towels, a hairdryer and company-branded toiletries. The apartment is available in two different design versions: either Asian, tinged with onyx stone and various yellow and gold details or futuristic, achieved through Plexiglas items and natural stone slabs.

This flagship apartment house is located in the urban area of the 3rd district of Zurich. The SZU station Giessh'bel is situated just on its doorstep (five minutes to the main railway station), while the surrounding traffic arteries can be accessed quickly by a private car. The closest bus and tram station is also not far away. The city center and the lake can be reached within a few minutes by public transport. The direct vicinity offers some restaurants, bars, as well as shopping possibilities. The shopping center Shilcity with numerous shops, restaurants and a cinema is just around the corner. Moreover, local recreation areas Sihl and Allmend Brunau are situated nearby. The Airport Zurich Kloten can be reached within 30 minutes.

Read more",Apartment,3790.0,2.0,41.0,"Wolframplatz 1, 8045 Zürich"
203,"2 Bedroom Apartment Mini
This cozy 2 bedroom flat is characterized by its interesting layout and classic furnishings. Designer furniture and black leather details ooze elegant charm. Two separate bedrooms with snug double beds, flat screen TV, wardrobe and a working desk provide the necessary privacy. The open kitchen with a dining area is fully fitted with a glass ceramic stove, microwave with baking and grilling options, coffee maker, as well as pans, crockery and cutlery. The modern bathroom with a shower is equipped with hand towels, a hair dryer and toiletries. This flat can comfortably accommodate up to 4 people providing everything to ensure maximum comfort of living.

The apartments are set right in the heart of the lively 4th district there is no better place to experience the urban charm of Zurich at first hand. Diverse restaurants, cafes, shops and local pubs are just a few steps away. The legendary Langstrasse with its numerous bars and clubs also lies a short walking distance from the building. Additionally, there are green spaces and small parks in close proximity. What is more, the location offers superb transport links. Right on the doorstep there is a tram stop Bezirksgebäude. The railway station Wiedikon can be reached within 2 minutes walking distance. From here, there are direct connections to the Airport Zurich Kloten (approx. 20 minutes). The main railway station is located 10 minutes away. Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,3890.0,2.0,37.0,"Cramerstrasse 2-6, 8004 Zürich"
204,"
Friendly business apartment in Zurich
This apartment offers everything you need for a carefree life. In addition to a double bed, this apartment offers a kitchen and a bathroom with shower or bathtub.
This business apartment is located in Zurich-Oerlikon, in an up-and-coming district for culture, trade fairs and sports and offers self-service check-in, an equipped kitchen, a bathroom and a balcony with panoramic views.
The friendly and attractively designed apartment has an absolutely fair price and a perfect cleaning service. This business apartment offers relaxation and tranquility to leisure and business travelers.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2803.0,6.0,30.0,"Friesstrasse, 8050 Zürich"
205,"
Modern Wiedikon 2.0 rooms, basement, wt. 3 minutes to the market
Come and feel at home from day one in this pretty 2-room apartment in Zurich. You will love coming home to this tastefully furnished, particularly well thought-out and fully equipped District 3, Wiedikon apartment with a breathtaking balcony view of the city of See. (ID",Furnished flat,3893.0,4.0,52.0,"Zweierstrasse, 8003 Zürich"
206,"
**Zurich-Witikon** temporary living until March 31, 2025
We are renting a beautiful, bright 4.5-room apartment at Carl Spittelerstrasse 59 from December 1st, 2023. The spacious floor plan, the attractive location and the parquet floors in the living and sleeping areas make this apartment attractive. A parking space can be rented.

The apartment is limited until March 31, 2025, as the building is being renovated.

If you are interested, you are welcome to take part in the viewing without prior registration on: November 16th, 2023 at 5:00 p.m. - 5:30 p.m
Read more",Apartment,1770.0,4.5,98.0,"Carl Spittelerstr. 59, 8053 Zürich"
207,"
Furnished 1-room apartment in the heart of Zurich
We are pleased to introduce you to this beautiful and bright 1-room apartment in an absolutely central location. This unique property is available for rent from January 1, 2023 for an initial period of 12 months, possibly longer. It is ideal for singles or students who value a quiet and comfortable living atmosphere.

When you enter the apartment, you will immediately be amazed by the light-flooded living room. Here you will find enough space to relax and feel good. The newly renovated kitchen is an absolute highlight and impresses with its high-quality furnishings. It has an induction cooker, an oven, a large refrigerator including a freezer and even a dishwasher - everything that makes the heart of an amateur cook beat faster.

The spacious and newly renovated daylight bathroom ensures pure relaxation and comfort. Here you will find a modern shower cubicle as well as your own washing machine and dryer. The apartment is fully furnished and offers you plenty of storage space for your personal belongings.

The property may have been built in the 1500s, but thanks to a comprehensive renovation in 2023, it is now in mint condition. The standard of construction is modern and contemporary.

The central location of this apartment speaks for itself. It is located in the middle of Zurich and offers first-class connections to restaurants, cafés, shopping opportunities and schools. The transport connections are also optimal, so you can easily get to all directions.



""Bright and spacious living room area
""Newly renovated kitchen
"" Washer and dryer
""Furnished ambience with plenty of storage space
""Location in the middle of Zurich
""Historic year of manufacture, but in mint condition
"" Convenient access thanks to the existing elevator
""A pleasant neighborhood and an open-minded environment

Read more",Furnished flat,1800.0,1.0,32.0,"Froschaugasse 18, 8001 Zürich"
211,"
Brand new modern and well located studio
This furnished apartment is the ideal accommodation for business travelers coming to Zurich. The furnished apartment impresses with its unique location and elegant design. In the studio you will find everything you need for work and leisure. in the comfortable living/sleeping area you will feel at home and in the kitchen you will find everything you need to cook. Of course, the apartment has its own bathroom with shower. All in all, this furnished business apartment offers all-round comfort in a prime location!

The apartment in Zurich includes the following services: WiFi Internet, satellite TV with international channels, laundry facilities, monthly cleaning (from a stay of 45 nights), bed linen, towels and all additional costs.

In the basement there are washing machines and dryers for free shared use.

The Serafe radio and television fee is not included in the rental price and must be paid by the tenant.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2464.0,1.0,19.0,"Forchstrasse, 8008 Zürich"
212,"
Modern living on 142 m²!
In the green and child-friendly Langmoos development, we are renting a spacious and bright 5.5-room apartment as of November 16, 2023.

The apartment impresses with:

- Living/dining room and corridor with parquet floors
- cozy balcony in the living room
- Fireplace
- Bedroom/children's room with laminate flooring
- 4 separate bedrooms
- Cloakroom and built-in cupboards
- beautiful and modern kitchen with glass ceramics
Read more",Apartment,2400.0,5.5,142.0,"Sihlwaldstrasse 6, 8135 Langnau am Albis"
213,"
When dreams come true ...! RENT WITHOUT BAIL
- State-of-the-art architecture
- Living area approx. 185 m2
- Big windows
- All 3 residential floors with parquet
- Spacious living and dining area
- Kitchen with dishwasher, ceramic glass and steamer
- shower/toilet
- Bathroom/toilet with double washbasin
- Own washing tower
- 6th floor with balcony and elevator
- Magnificent view over the city
- Close to the center
- Bus 2 minutes walk away
- Directly at Katharina Sulzer Platz
- Parking spaces at CHF 175.-- available

The pictures show the standard.
Read more",Duplex,3110.0,5.5,185.0,"Katharina Sulzer Platz 10, 8400 Winterthur"
217,"
2 room apartment
The trendy 2-room apartment (42 m2) in the heart of Zurich is suitable for one or two people. It has been newly renovated and is furnished in a modern style. The bedroom has a large double bed (210x200 cm), two bedside tables and a large closet. The living room offers a sofa to relax on and a large dining table, a comfortable armchair, a sideboard and a multimedia station. The apartment also has a separate kitchen and a bathroom with a bathtub, as well as a corridor with a built-in wardrobe. The WLAN Internet access is included in the booking price - this enables you to easily book our additional room service offers online on site. Also included are all ancillary costs, the weekly cleaning of your apartment, changing the bed linen and shared use of the laundry room.

You can register with the city with the rental agreement.

Note: The prices and dates shown are not mandatory final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,3192.0,3.0,51.0,"ForchstraÃŸe, 8032 Zürich"
220,"
Between Mettmenhaslisee and Lägern
We are renting this pretty single apartment in this well-maintained property as of February 1st, 2024. The residential property offers you, among other things, the following features:

- Living area with laminate flooring
- modern, open kitchen with ceramic flooring
- Dishwasher and glass ceramic hob
- Bathroom/toilet with ceramic flooring
- Closet
- sunny balcony

The photos are sample images which are used for illustrative purposes and may differ slightly from the object on offer. You can see the room layout in the floor plan.

If required and available, parking spaces can be rented for CHF 120.00 per month.

Shopping facilities such as Migros and other service providers are located in the center of Niederglatt.

The Niederglatt train station and the Niederhasli train station, which are served by S-lines 5 and 55 with connections to Zurich or Niederweningen, are easily accessible on foot.

The bus stop ""Niederhasli Hofstetterstrasse"" with bus connections 510 towards Bülach/Kaisersthul or Zurich Airport/Zurich is also within a short walking distance of the property.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1297.0,2.5,54.0,"Heiselstrasse 100, 8155 Niederhasli"
223,"
Charming Langstrasse 3.5 room warehouse, 5 minutes to the tram, via Blueground
Discover the best Zurich has to offer with this 3-room apartment in District 4, Langstrasse with balcony views of the city. Arrive and immediately settle into this airy apartment with a fully equipped kitchen, sophisticated living room and our dedicated on-site support team. (ID",Furnished flat,3610.0,1.0,86.0,"Pflanzschulstrasse, 8004 Zürich"
225,"
Studio near Zurich city center
The following is included in the monthly rent:

Additional costs (water, heating)
Furniture (bed, sofa, chairs, table)
Cake accessories (pans, pots, cooking utensils, dishes, glasses, cutlery)
Electrical appliances (coffee machine, toaster, Vacuum cleaner, hairdryer, iron)
Living, sleeping and bathroom textiles
Accessories for laundry",Furnished flat,3221.0,9.0,50.0,"Sonnentalstrasse, 8600 Dübendorf"
228,"
Cozy family apartment in Pfäffikon
As of May 1st or by appointment, rent this cozy
3 room apartment in Pfäffikon ZH.

The apartment offers you the following standard:
Living room, bedroom, children's room and corridor with parquet/laminate floor
Kitchen and wet room with PVC flooring
Pet are allowed.

If required, a parking space can be rented for CHF 60.00 or a parking space for CHF 120.00 per month.

Vicinity:
Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,1300.0,3.0,61.0,"Hotzenweidstrasse 62, 8330 Pfäffikon ZH"
229,"Luxus Wiedikon 2.0 Zim.,Keller,W-T. 3 Min. zum Markt
Entdecke mit dieser 2-Zimmer Wohnung in District 3, Wiedikon mit Balkonblick auf die Stadt das Beste, was Zurich zu bieten hat. Komm an, und lebe dich sofort in dieser modern eingerichteten Wohnung mit voll ausgestatteter Kuche, anspruchsvoll Wohnzimmer und unserem engagierten Support-Team vor Ort ein. (ID",Furnished flat,3714.0,3.0,56.0,"Zweierstrasse, 8003 Zürich"
230,"
Living in a quiet location - limited until March 31, 2025
We are renting this charming 3.0-room apartment in a quiet and leafy residential area for a limited period until March 31, 2025. In addition to an ideal room layout, this great residential property offers you the following amenities:

- friendly entrance area with built-in wardrobe
- Rooms with vinyl flooring
- spacious living/dining room
- Lockable kitchen with slab flooring
- with electric stove
- Bathroom/toilet with sink base
- Two balconies
- Basement compartment
- no elevator

Please note that the apartment is rented for a limited period until March 31, 2025. For the period of the interim rental, the apartment will be handed over to the new tenant without any repairs and as is.

The sample photos only show the standard of the apartment. Please see the floor plan for the exact room layout.

The ""Sood-Oberleimbach"" train station with the S-Bahn line S4 in the direction of ""Langnau-Gattikon"" and ""Zürich, Hauptbahnhof"" can be reached in a few minutes on foot. Shops (such as Coop, Migros, etc.) are located at Adliswil train station.

The tenant acknowledges that the landlord will build a replacement building for the rental property from the beginning of 2024. However, the rental property is available at favorable conditions
left to use.

The parties agree that, taking into account the planned replacement building, the landlord will only provide the most necessary items to maintain usability
will carry out maintenance work, as any further maintenance expenses would prove to be disproportionate. This was appropriately taken into account when determining the applicable rent.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1500.0,3.0,86.0,"Isengrundstrasse 10, 8134 Adliswil"
